all_10,all_15,all_20,select_20,select_15,select_10
 狗雜碎, 幹為, 一家老小, 狗雜碎, 牆國, 洗翻
 耖, 鄉民, 綠粉, 耖, 廢材, 蛤
 紅姨, 世風日下, 小混混, 公廟, 垃圾, 吃屎
 tony, 著猴, 駕死, 紅姨, 廢物, 共產黨國
 母湯, 亂報, 中共, 共匪, 不酸, 呵呵
 肥仔,777, 文嚇, 愛當, 政晶, 宅會
 JP, 瘦宅, 智障, 糞國, 出奶, 匪區
 專出, 人渣, 輕軍, tony, 狗國, 狗屎
 宋粉, 死破麻, 死死, 喜翻, 不死一死, 中?
 畜生, 嘴人, 台霉, 肥仔, 阿宅, 幹滾啦
 姚粉, 改不了, 母豬, 堪慮, 政論, 亂酸
 酸民, 技者, 死不足惜, 專出, mmmmmm, 閃殺
 霉體, 不動員, 柯粉會, JP, 阿幹,
 彭文正, 狗雜碎, 狗奴才, 母湯, 沒腦子,
 鐵粉, 耖, 柯粉才, 酸民, 腦包,
 realtw, 肥仔, 藍粉, 真當, ㄛ,
 力覺, 姚粉, 眼紅, 彭文正, 八家,
 黑柯, 真當, 領光, Co2, 綠渣,
 民嘴, 鐵粉,847, 才覺得, 蠢蛋,
 渣滓, 泣, 珮珊, 黑柯, 正晶,
 夜射, 爛貨, 死宅, 辛旗, 不得好死,
 鄭弘儀, 肥宅, 幹妹, 民嘴, 靈涼,
 發瘋, 廠工, 捧上天, 渣滓, 拉雞,
 賤種, 牆國, 犯科, 鄭弘儀, 版友,
 腦殘, 狗國, 黴體, 腦婆, 酸文,
 裝屎, 阿宅, 賤人, 狗娘, 拉基,
925, 政論, 粉要, 爛貨, 幹你娘,
 領導黨, 革命家, 現職, 渣, 低能,
 肥宅, 畜生, 三粒, 裝屎, 東然,
 丁粉, 無業, 操你媽無恥, 樓超, ptt,
 電過, 立貞潔, 幹為, 肥宅, ey,
 方陣營, 幹你娘, 鄉民, 玩車, 龍妹,
 干五, ey, 世風日下, 批批, 廢成,
 瘋子, 龍妹, 著猴, 佩珊, 8+9,
 五毛, 這版, 亂報, 牆國, 這版,
 賤畜, 妓者, ZZZ, 廢材, 宅宅,
 牆國, 綠膿桿,777, 垃圾, 蠢貨,
 gn, 雜種, PTT, 廢物, 鄉民酸,
 httpsiimgurcomK8QoKQpjpg, 喇幹, 瘦宅, 幹破, 呼呼大睡,
 魯蛇, 柯黑, 人渣, 不酸, 笑死,
 廢材, 刪滾, 死破麻, 政晶, 敗類,
 垃圾, 經病, 嘴人, 出奶, 錢啦,
 廢物, 一家子, 改不了, 臭酸宅, 綠膿桿,
 不酸, 甲賽, 技者, 狗國, 訐,
 蔡挺, 金養, 不動員, 蠢事, 夜店,
 出奶, 台媒, 女會, 謠老師, 皇奴,
 狗國, 洗翻, 狗雜碎, 不死一死, 真肥宅,
 覺青會, 藍綠柯, 耖, 幹騙, 米蟲,
 阿宅, 吃屎, 肥仔, 阿宅, 下賤,
 政論, 憤世嫉俗, 姚粉, 政論, 喇幹,
 陰森, 一國兩治, 真當, mmmmmm, 混帳,
 mmmmmm, 呵呵, 鐵粉, 阿幹, 魯宅,
 革命家, 宅會, 泣, 沒腦子, 掛板,
 阿幹, 綠畜, 爛貨, 腦包, 刪滾,
 沒腦子, 牆內, 最賤, ㄛ, 酸人,
 腦包, 死肥宅, 職領, 八家, Allpost,
 ㄛ, 名嘴, 肥宅, 綠渣, 甲賽,
 八家, 關電視, 玩車, 殺發, 樓別,
 綠渣, 畜牲, 廠工, 蠢蛋, 網友,
 柯迷, 最該, 牆國, 正晶, 矮額,
 蠢蛋, 支畜, 狗國, 爛, Wwwww,
 正晶, 白爛, 阿宅, 不得好死, 支那,
 不得好死, 飆車, 政論, 拉雞, 汪汪叫,
 科粉, 吃大便, 革命家, 版友, 洗翻,
